fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,199.0,17.200000762939453,17.200000762939453,142.0,22.600000381469727,0.8271356821060181,0.6318740248680115,0.2637479305267334,0.26307106018066406,0.24319317936897278,9.291060447692871,0.6276789903640747,0.6276789903640747,0.5998154878616333,0.1291278600692749,0.1364366114139557,0.37778910994529724,0.3819681406021118,0.4001845419406891,0.2637479305267334,0.26307106018066406,0.2520790994167328,0.24319317936897278,0.5998154878616333,0.6691493391990662,0.8708721399307251,4.764472961425781,0.3723210096359253,0.3723210096359253,0.20000000298023224,0.47873982787132263,0.4001845419406891,0.1364366114139557,0.4001845419406891,0.8635633587837219,0.4001845419406891,0.8635633587837219,0.26307106018066406,0.8635633587837219,0.4001845419406891,1.1557788848876953,3.557788848876953,1.8862102031707764,-0.20947718620300293
2,199.0,18.200000762939453,18.200000762939453,141.0,21.600000381469727,0.8170854449272156,0.6286327242851257,0.2572653889656067,0.2696588933467865,0.2883654534816742,13.393814086914062,0.5756437182426453,0.5756437182426453,0.598674476146698,0.13599088788032532,0.14406011998653412,0.40627193450927734,0.40952959656715393,0.401325523853302,0.2572653889656067,0.2696588933467865,0.27181971073150635,0.2883654534816742,0.598674476146698,0.6763947010040283,0.8640090823173523,9.394735336303711,0.4243563711643219,0.4243563711643219,0.19999998807907104,0.31894949078559875,0.401325523853302,0.14406011998653412,0.401325523853302,0.8559398651123047,0.401325523853302,0.8559398651123047,0.2696588933467865,0.8559398651123047,0.401325523853302,1.2512562274932861,3.9547739028930664,1.988661289215088,-0.3381836414337158
3,199.0,20.200000762939453,20.200000762939453,139.0,19.600000381469727,0.7969849705696106,0.6277304887771606,0.2554609477519989,0.2634222209453583,0.25127801299095154,15.5123929977417,0.5945776104927063,0.5945776104927063,0.5883249640464783,0.15414440631866455,0.15621410310268402,0.4042409062385559,0.4063844680786133,0.4116750657558441,0.2554609477519989,0.2634222209453583,0.25195395946502686,0.25127801299095154,0.5883249640464783,0.6939865946769714,0.8458555340766907,9.800484657287598,0.4054224491119385,0.4054224491119385,0.19999998807907104,0.3308677673339844,0.4116750657558441,0.15621410310268402,0.4116750657558441,0.8437858819961548,0.4116750657558441,0.8437858819961548,0.2634222209453583,0.8437858819961548,0.4116750657558441,1.412060260772705,4.4874372482299805,2.1183571815490723,-0.51842200756073
4,198.0,16.80000114440918,16.80000114440918,141.60000610351562,22.80000114440918,0.8303030133247375,0.7369318604469299,0.47386375069618225,0.3634607493877411,0.3579579293727875,12.40410327911377,0.5148950815200806,0.5148950815200806,0.3962811231613159,0.12714706361293793,0.12985514104366302,0.5186468362808228,0.5310205817222595,0.6037188768386841,0.47386375069618225,0.3634607493877411,0.40414783358573914,0.3579579293727875,0.3962811231613159,0.46345192193984985,0.8728529214859009,16.10149574279785,0.4851049482822418,0.4851049482822418,0.20000000298023224,0.29346969723701477,0.6037188768386841,0.12985514104366302,0.6037188768386841,0.8701448440551758,0.6037188768386841,0.8701448440551758,0.3634607493877411,0.8701448440551758,0.6037188768386841,1.1363636255264282,3.5202019214630127,1.8762201070785522,-0.18875396251678467
5,198.0,18.399999618530273,18.399999618530273,140.0,21.200000762939453,0.8141414523124695,0.6489142775535583,0.2978285849094391,0.3147077262401581,0.36335501074790955,40.32594680786133,0.4930259883403778,0.4930259883403778,0.5528838038444519,0.14361904561519623,0.14928758144378662,0.4666568338871002,0.47177645564079285,0.4471161961555481,0.2978285849094391,0.3147077262401581,0.3277779519557953,0.36335501074790955,0.5528838038444519,0.6406557559967041,0.8563809394836426,23.84968376159668,0.5069741010665894,0.5069741010665894,0.20000000298023224,0.2944962978363037,0.4471161961555481,0.14928758144378662,0.4471161961555481,0.8507124185562134,0.4471161961555481,0.8507124185562134,0.3147077262401581,0.8507124185562134,0.4471161961555481,1.3333333730697632,4.353535175323486,2.086512565612793,-0.47016608715057373
