fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,199.0,28.600000381469727,28.600000381469727,130.60000610351562,11.199999809265137,0.7125628590583801,0.554659366607666,0.10931871086359024,0.13844417035579681,0.19968269765377045,5.495412349700928,0.6246933341026306,0.6246933341026306,0.7247126698493958,0.17562399804592133,0.165968656539917,0.22739508748054504,0.26844170689582825,0.27528735995292664,0.10931871086359024,0.13844417035579681,0.13884399831295013,0.19968269765377045,0.7247126698493958,0.8728948831558228,0.8243760466575623,4.124602317810059,0.3753066956996918,0.3753066956996918,0.20000000298023224,0.4987673759460449,0.27528735995292664,0.165968656539917,0.27528735995292664,0.8340312838554382,0.27528735995292664,0.8340312838554382,0.13844417035579681,0.8340312838554382,0.27528735995292664,1.1859296560287476,2.3015074729919434,1.5170719623565674,0.2175980806350708
2,199.0,31.0,31.0,128.1999969482422,8.800000190734863,0.6884422302246094,0.5751692652702332,0.1503385752439499,0.11820902675390244,0.21730902791023254,6.135397434234619,0.6031802296638489,0.6031802296638489,0.6731545329093933,0.17951075732707977,0.176506906747818,0.2060098499059677,0.26940321922302246,0.3268454968929291,0.1503385752439499,0.11820902675390244,0.15216095745563507,0.21730902791023254,0.6731545329093933,0.8279336094856262,0.8204893469810486,4.606605529785156,0.3968197703361511,0.3968197703361511,0.19999998807907104,0.3659149408340454,0.3268454968929291,0.176506906747818,0.3268454968929291,0.8234931230545044,0.3268454968929291,0.8234931230545044,0.11820902675390244,0.8234931230545044,0.3268454968929291,1.286432147026062,2.5025124549865723,1.5819331407546997,0.15322047472000122
3,199.0,29.0,29.0,130.1999969482422,10.800000190734863,0.7085427641868591,0.5124692916870117,0.02493857406079769,0.11947833746671677,0.2354663908481598,7.796278476715088,0.5904762148857117,0.5904762148857117,0.8096976280212402,0.17405740916728973,0.16536377370357513,0.1953033208847046,0.2389381229877472,0.19030235707759857,0.02493857406079769,0.11947833746671677,0.11908049881458282,0.2354663908481598,0.8096976280212402,0.9859418869018555,0.8259426355361938,6.2243218421936035,0.4095238149166107,0.4095238149166107,0.19999998807907104,0.573124885559082,0.19030235707759857,0.16536377370357513,0.19030235707759857,0.8346362113952637,0.19030235707759857,0.8346362113952637,0.11947833746671677,0.8346362113952637,0.19030235707759857,1.145728588104248,2.1407034397125244,1.4631142616271973,0.2756463885307312
4,198.0,31.0,31.0,127.4000015258789,8.600000381469727,0.6868686676025391,0.5553989410400391,0.11079788208007812,0.11342089623212814,0.1820487529039383,4.773433685302734,0.6350513100624084,0.6350513100624084,0.7105109691619873,0.18289996683597565,0.17869116365909576,0.19641636312007904,0.24995140731334686,0.2894890606403351,0.11079788208007812,0.11342089623212814,0.12484171241521835,0.1820487529039383,0.7105109691619873,0.8791214227676392,0.8171000480651855,3.857553243637085,0.36494871973991394,0.36494871973991394,0.20000000298023224,0.38697823882102966,0.2894890606403351,0.17869116365909576,0.2894890606403351,0.8213087916374207,0.2894890606403351,0.8213087916374207,0.11342089623212814,0.8213087916374207,0.2894890606403351,1.303030252456665,2.555555582046509,1.598610520362854,0.13700217008590698
5,198.0,27.600000381469727,27.600000381469727,130.8000030517578,12.0,0.7212120890617371,0.6023327708244324,0.20466546714305878,0.15148548781871796,0.2523063123226166,11.255691528320312,0.5784379839897156,0.5784379839897156,0.6332216262817383,0.16925576329231262,0.16211295127868652,0.25458621978759766,0.31430086493492126,0.3667784333229065,0.20466546714305878,0.15148548781871796,0.19470901787281036,0.2523063123226166,0.6332216262817383,0.7540575861930847,0.8307442665100098,8.71441650390625,0.4215621054172516,0.4215621054172516,0.20000000298023224,0.33346283435821533,0.3667784333229065,0.16211295127868652,0.3667784333229065,0.8378869891166687,0.3667784333229065,0.8378869891166687,0.15148548781871796,0.8378869891166687,0.3667784333229065,1.191919207572937,2.4040403366088867,1.5504968166351318,0.18816816806793213
