fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,993.0,149.40000915527344,149.40000915527344,645.0,49.20000076293945,0.6990936398506165,0.5451919436454773,0.09038390219211578,0.12645387649536133,0.24588695168495178,11.608433723449707,0.5773900151252747,0.5773900151252747,0.7410764098167419,0.17672307789325714,0.16853968799114227,0.2135459929704666,0.26657673716545105,0.25892359018325806,0.09038390219211578,0.12645387649536133,0.1490357369184494,0.24588695168495178,0.7410764098167419,0.9069544076919556,0.823276937007904,9.210265159606934,0.42261001467704773,0.42261001467704773,0.20000000298023224,0.36802294850349426,0.25892359018325806,0.16853968799114227,0.25892359018325806,0.8314602971076965,0.25892359018325806,0.8314602971076965,0.12645387649536133,0.8314602971076965,0.25892359018325806,1.199395775794983,2.2910373210906982,1.5136172771453857,0.22468948364257812
2,993.0,149.60000610351562,149.60000610351562,644.7999877929688,49.0,0.6986908316612244,0.5611615180969238,0.12232303619384766,0.127450093626976,0.23353159427642822,6.930144786834717,0.590415894985199,0.590415894985199,0.7073504328727722,0.17605255544185638,0.17032654583454132,0.21672120690345764,0.2722795009613037,0.29264959692955017,0.12232303619384766,0.127450093626976,0.15481452643871307,0.23353159427642822,0.7073504328727722,0.859866738319397,0.823947548866272,5.607168674468994,0.4095841348171234,0.4095841348171234,0.20000000298023224,0.36339426040649414,0.29264959692955017,0.17032654583454132,0.29264959692955017,0.8296734690666199,0.29264959692955017,0.8296734690666199,0.127450093626976,0.8296734690666199,0.29264959692955017,1.2064450979232788,2.308157205581665,1.5192620754241943,0.2181897759437561
3,993.0,154.0,154.0,640.4000244140625,44.60000228881836,0.6898288130760193,0.5423647165298462,0.08472944796085358,0.11296301335096359,0.2329421043395996,7.973170757293701,0.5873918533325195,0.5873918533325195,0.7408694624900818,0.17966601252555847,0.17440113425254822,0.19352231919765472,0.2505966126918793,0.2591305673122406,0.08472944796085358,0.11296301335096359,0.13466517627239227,0.2329421043395996,0.7408694624900818,0.9047080874443054,0.8203340768814087,6.587808132171631,0.4126081168651581,0.4126081168651581,0.20000000298023224,0.374321848154068,0.2591305673122406,0.17440113425254822,0.2591305673122406,0.8255988955497742,0.2591305673122406,0.8255988955497742,0.11296301335096359,0.8255988955497742,0.2591305673122406,1.1661630868911743,2.0584089756011963,1.4347156286239624,0.30213916301727295
4,993.0,147.1999969482422,147.1999969482422,647.2000122070312,51.400001525878906,0.7035247087478638,0.5615872740745544,0.12317445129156113,0.12992918491363525,0.24941550195217133,11.276079177856445,0.5773858428001404,0.5773858428001404,0.7089411020278931,0.1731986701488495,0.1678844690322876,0.22027771174907684,0.277120441198349,0.2910589277744293,0.12317445129156113,0.12992918491363525,0.16217266023159027,0.24941550195217133,0.7089411020278931,0.8544155359268188,0.8268013000488281,9.171786308288574,0.422614187002182,0.422614187002182,0.20000000298023224,0.3552888035774231,0.2910589277744293,0.1678844690322876,0.2910589277744293,0.8321155905723572,0.2910589277744293,0.8321155905723572,0.12992918491363525,0.8321155905723572,0.2910589277744293,1.1953675746917725,2.321248769760132,1.5235644578933716,0.21302872896194458
5,992.0,152.40000915527344,152.40000915527344,641.2000122070312,46.0,0.6927419900894165,0.5563576221466064,0.11271529644727707,0.11670627444982529,0.22895126044750214,8.247492790222168,0.5911394357681274,0.5911394357681274,0.7131704092025757,0.17990928888320923,0.17411430180072784,0.20281778275966644,0.26142048835754395,0.2868295907974243,0.11271529644727707,0.11670627444982529,0.14285258948802948,0.22895126044750214,0.7131704092025757,0.8642263412475586,0.8200907111167908,6.961727142333984,0.40886059403419495,0.40886059403419495,0.20000000298023224,0.3586745858192444,0.2868295907974243,0.17411430180072784,0.2868295907974243,0.8258857727050781,0.2868295907974243,0.8258857727050781,0.11670627444982529,0.8258857727050781,0.2868295907974243,1.225806474685669,2.326612949371338,1.5253238677978516,0.21233874559402466
