fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,199.0,21.80000114440918,21.80000114440918,137.40000915527344,18.0,0.7809045314788818,0.5856687426567078,0.1713373214006424,0.1976730078458786,0.15523365139961243,2.8672425746917725,0.6913341879844666,0.6913341879844666,0.6788894534111023,0.153432235121727,0.14977328479290009,0.29873910546302795,0.30605411529541016,0.3211106061935425,0.1713373214006424,0.1976730078458786,0.1595938503742218,0.15523365139961243,0.6788894534111023,0.7877576351165771,0.8465677499771118,1.923132300376892,0.30866584181785583,0.30866584181785583,0.20000000298023224,0.5184860229492188,0.3211106061935425,0.14977328479290009,0.3211106061935425,0.8502268195152283,0.3211106061935425,0.8502268195152283,0.1976730078458786,0.8502268195152283,0.3211106061935425,1.246231198310852,3.5376884937286377,1.8808743953704834,-0.2026439905166626
2,199.0,22.600000381469727,22.600000381469727,136.60000610351562,17.200000762939453,0.7728642821311951,0.5729050636291504,0.1458100825548172,0.1860811561346054,0.12929542362689972,2.7563767433166504,0.7087514996528625,0.7087514996528625,0.6948283314704895,0.16195306181907654,0.1593616008758545,0.2851894795894623,0.2912323474884033,0.3051716983318329,0.1458100825548172,0.1860811561346054,0.13398593664169312,0.12929542362689972,0.6948283314704895,0.8184894919395447,0.8380470275878906,1.9231655597686768,0.29124847054481506,0.29124847054481506,0.19999998807907104,0.5276331901550293,0.3051716983318329,0.1593616008758545,0.3051716983318329,0.8406384587287903,0.3051716983318329,0.8406384587287903,0.1860811561346054,0.8406384587287903,0.3051716983318329,1.3567838668823242,3.909547805786133,1.9772576093673706,-0.3228803873062134
3,199.0,23.600000381469727,23.600000381469727,135.60000610351562,16.200000762939453,0.7628140449523926,0.5492631793022156,0.09852640330791473,0.1691279411315918,0.12023448944091797,1.8617407083511353,0.7161644101142883,0.7161644101142883,0.741720974445343,0.1636010855436325,0.15975260734558105,0.25899234414100647,0.2643321454524994,0.258279025554657,0.09852640330791473,0.1691279411315918,0.11026113480329514,0.12023448944091797,0.741720974445343,0.8718556761741638,0.8363988995552063,1.394230842590332,0.28383558988571167,0.28383558988571167,0.19999998807907104,0.5518775582313538,0.258279025554657,0.15975260734558105,0.258279025554657,0.8402473330497742,0.258279025554657,0.8402473330497742,0.1691279411315918,0.8402473330497742,0.258279025554657,1.3718593120574951,3.9246230125427246,1.981066107749939,-0.32798171043395996
4,198.0,22.200000762939453,22.200000762939453,136.1999969482422,17.399999618530273,0.7757575511932373,0.5618025660514832,0.12360521405935287,0.18316355347633362,0.13674870133399963,2.1518452167510986,0.7063815593719482,0.7063815593719482,0.7232196927070618,0.15686972439289093,0.15317507088184357,0.2775869071483612,0.2811577320098877,0.27678027749061584,0.12360521405935287,0.18316355347633362,0.13155926764011383,0.13674870133399963,0.7232196927070618,0.8409868478775024,0.8431302905082703,1.5587042570114136,0.29361844062805176,0.29361844062805176,0.20000000298023224,0.5355494618415833,0.27678027749061584,0.15317507088184357,0.27678027749061584,0.8468249440193176,0.27678027749061584,0.8468249440193176,0.18316355347633362,0.8468249440193176,0.27678027749061584,1.3484848737716675,3.9141414165496826,1.9784189462661743,-0.32178521156311035
5,198.0,20.600000381469727,20.600000381469727,137.8000030517578,19.0,0.7919191718101501,0.6573941111564636,0.3147883713245392,0.23154567182064056,0.2101290225982666,6.744697570800781,0.6427018642425537,0.6427018642425537,0.5412554144859314,0.1471691131591797,0.14395630359649658,0.35576334595680237,0.37876227498054504,0.458744615316391,0.3147883713245392,0.23154567182064056,0.24139244854450226,0.2101290225982666,0.5412554144859314,0.6286618113517761,0.8528308868408203,3.73846435546875,0.3572981357574463,0.3572981357574463,0.20000000298023224,0.3534470498561859,0.458744615316391,0.14395630359649658,0.458744615316391,0.8560437560081482,0.458744615316391,0.8560437560081482,0.23154567182064056,0.8560437560081482,0.458744615316391,1.2676767110824585,3.7121212482452393,1.9266866445541382,-0.25356388092041016
