fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,199.0,16.80000114440918,16.80000114440918,142.40000915527344,23.0,0.8311557769775391,0.6650071144104004,0.3300141990184784,0.31533941626548767,0.3315603733062744,26.37007713317871,0.5432602763175964,0.5432602763175964,0.5356091856956482,0.12517932057380676,0.13437668979167938,0.453533798456192,0.45696526765823364,0.4643908441066742,0.3300141990184784,0.31533941626548767,0.330363392829895,0.3315603733062744,0.5356091856956482,0.6005658507347107,0.8748207092285156,13.87534236907959,0.45673972368240356,0.45673972368240356,0.20000000298023224,0.3122943043708801,0.4643908441066742,0.13437668979167938,0.4643908441066742,0.8656232953071594,0.4643908441066742,0.8656232953071594,0.31533941626548767,0.8656232953071594,0.4643908441066742,1.1206029653549194,3.4422109127044678,1.855319619178772,-0.17018628120422363
2,199.0,16.80000114440918,16.80000114440918,142.40000915527344,23.0,0.8311557769775391,0.6542612910270691,0.3085225522518158,0.3075697720050812,0.35079485177993774,22.152345657348633,0.525343120098114,0.525343120098114,0.5544390678405762,0.12386200577020645,0.13703839480876923,0.4476338326931,0.4537191390991211,0.44556093215942383,0.3085225522518158,0.3075697720050812,0.32794898748397827,0.35079485177993774,0.5544390678405762,0.6151425242424011,0.8761380314826965,12.871661186218262,0.474656879901886,0.474656879901886,0.19999998807907104,0.30095311999320984,0.44556093215942383,0.13703839480876923,0.44556093215942383,0.8629615902900696,0.44556093215942383,0.8629615902900696,0.3075697720050812,0.8629615902900696,0.44556093215942383,1.160804033279419,3.663316488265991,1.913979172706604,-0.2395627498626709
3,199.0,19.200000762939453,19.200000762939453,140.0,20.600000381469727,0.8070352673530579,0.6574050784111023,0.31481021642684937,0.29070910811424255,0.2754846215248108,20.785062789916992,0.5793022513389587,0.5793022513389587,0.5353946089744568,0.14521321654319763,0.149795264005661,0.4352206289768219,0.4388978183269501,0.4646054208278656,0.31481021642684937,0.29070910811424255,0.29324468970298767,0.2754846215248108,0.5353946089744568,0.626200795173645,0.8547868728637695,10.816011428833008,0.42069777846336365,0.42069777846336365,0.19999998807907104,0.32645270228385925,0.4646054208278656,0.149795264005661,0.4646054208278656,0.8502047657966614,0.4646054208278656,0.8502047657966614,0.29070910811424255,0.8502047657966614,0.4646054208278656,1.3316582441329956,4.216080188751221,2.053309679031372,-0.4266026020050049
4,198.0,15.600000381469727,15.600000381469727,142.8000030517578,24.0,0.842424213886261,0.7343565225601196,0.46871310472488403,0.3638524115085602,0.3742440640926361,40.11214828491211,0.5094043016433716,0.5094043016433716,0.4116595387458801,0.11635170131921768,0.11962740868330002,0.518281102180481,0.5286577939987183,0.5883405208587646,0.46871310472488403,0.3638524115085602,0.4132291376590729,0.3742440640926361,0.4116595387458801,0.46559247374534607,0.8836483359336853,14.13006591796875,0.4905957281589508,0.4905957281589508,0.20000000298023224,0.2860244810581207,0.5883405208587646,0.11962740868330002,0.5883405208587646,0.8803726434707642,0.5883405208587646,0.8803726434707642,0.3638524115085602,0.8803726434707642,0.5883405208587646,1.0555555820465088,3.3080809116363525,1.8188130855560303,-0.11712169647216797
5,198.0,17.399999618530273,17.399999618530273,141.0,22.200000762939453,0.8242424130439758,0.6722258925437927,0.34445175528526306,0.3515559732913971,0.3921825885772705,88.34275817871094,0.4730686843395233,0.4730686843395233,0.5124977231025696,0.13474875688552856,0.14305059611797333,0.4958077371120453,0.5013424754142761,0.4875023365020752,0.34445175528526306,0.3515559732913971,0.36623620986938477,0.3921825885772705,0.5124977231025696,0.5874635577201843,0.8652512431144714,33.48452377319336,0.5269314050674438,0.5269314050674438,0.20000000298023224,0.2867049276828766,0.4875023365020752,0.14305059611797333,0.4875023365020752,0.8569494485855103,0.4875023365020752,0.8569494485855103,0.3515559732913971,0.8569494485855103,0.4875023365020752,1.2575757503509521,4.116161823272705,2.0288326740264893,-0.3900061845779419
