fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,199.0,27.600000381469727,27.600000381469727,131.60000610351562,12.199999809265137,0.7226130366325378,0.5398351550102234,0.0796702653169632,0.1517435759305954,0.22143523395061493,5.576115131378174,0.6099352240562439,0.6099352240562439,0.7613904476165771,0.16862952709197998,0.15893927216529846,0.24386492371559143,0.27558428049087524,0.23860955238342285,0.0796702653169632,0.1517435759305954,0.14924123883247375,0.22143523395061493,0.7613904476165771,0.9175840616226196,0.83137047290802,4.149533748626709,0.3900648057460785,0.3900648057460785,0.20000000298023224,0.5083058476448059,0.23860955238342285,0.15893927216529846,0.23860955238342285,0.8410607576370239,0.23860955238342285,0.8410607576370239,0.1517435759305954,0.8410607576370239,0.23860955238342285,1.1708542108535767,2.4170854091644287,1.554697871208191,0.1783071756362915
2,199.0,28.80000114440918,28.80000114440918,130.40000915527344,11.0,0.7105527520179749,0.5444406867027283,0.08888139575719833,0.13614533841609955,0.24158242344856262,1.667546272277832,0.5850511789321899,0.5850511789321899,0.7462221384048462,0.17336644232273102,0.16489647328853607,0.22472190856933594,0.27155646681785583,0.2537778615951538,0.08888139575719833,0.13614533841609955,0.14961527287960052,0.24158242344856262,0.7462221384048462,0.9010675549507141,0.8266335725784302,1.404455542564392,0.41494885087013245,0.41494885087013245,0.19999998807907104,0.45731401443481445,0.2537778615951538,0.16489647328853607,0.2537778615951538,0.8351035118103027,0.2537778615951538,0.8351035118103027,0.13614533841609955,0.8351035118103027,0.2537778615951538,1.1658291816711426,2.251256227493286,1.5004186630249023,0.23823851346969604
3,199.0,28.600000381469727,28.600000381469727,130.60000610351562,11.199999809265137,0.7125627994537354,0.5114070177078247,0.02281404845416546,0.13459700345993042,0.21092922985553741,6.5165629386901855,0.6130270957946777,0.6130270957946777,0.8121562004089355,0.17604362964630127,0.16502974927425385,0.21873486042022705,0.2503943145275116,0.18784379959106445,0.02281404845416546,0.13459700345993042,0.118441641330719,0.21092922985553741,0.8121562004089355,0.998448371887207,0.823956310749054,4.976454257965088,0.3869728744029999,0.3869728744029999,0.19999998807907104,0.5930044651031494,0.18784379959106445,0.16502974927425385,0.18784379959106445,0.8349702954292297,0.18784379959106445,0.8349702954292297,0.13459700345993042,0.8349702954292297,0.18784379959106445,1.2412060499191284,2.6180903911590576,1.6180514097213745,0.11411213874816895
4,198.0,27.600000381469727,27.600000381469727,130.8000030517578,12.0,0.7212121486663818,0.5856562852859497,0.17131252586841583,0.15186098217964172,0.2541203796863556,2.4414243698120117,0.5764932036399841,0.5764932036399841,0.6678339242935181,0.16938641667366028,0.16085362434387207,0.25109317898750305,0.3052437901496887,0.3321661651134491,0.17131252586841583,0.15186098217964172,0.1842653602361679,0.2541203796863556,0.6678339242935181,0.8009058237075806,0.8306136131286621,1.9497984647750854,0.42350679636001587,0.42350679636001587,0.20000000298023224,0.32670894265174866,0.3321661651134491,0.16085362434387207,0.3321661651134491,0.8391464352607727,0.3321661651134491,0.8391464352607727,0.15186098217964172,0.8391464352607727,0.3321661651134491,1.1818181276321411,2.373737335205078,1.540693759918213,0.19840121269226074
5,198.0,28.600000381469727,28.600000381469727,129.8000030517578,11.0,0.7111111283302307,0.5675599575042725,0.1351199597120285,0.1415926218032837,0.24463406205177307,12.291727066040039,0.5845215916633606,0.5845215916633606,0.7044638991355896,0.17084437608718872,0.1604161560535431,0.23308642208576202,0.2830108404159546,0.2955361306667328,0.1351199597120285,0.1415926218032837,0.16846612095832825,0.24463406205177307,0.7044638991355896,0.830330491065979,0.8291556239128113,9.134172439575195,0.4154784381389618,0.4154784381389618,0.20000000298023224,0.46392759680747986,0.2955361306667328,0.1604161560535431,0.2955361306667328,0.8395838737487793,0.2955361306667328,0.8395838737487793,0.1415926218032837,0.8395838737487793,0.2955361306667328,1.23737370967865,2.641414165496826,1.625242829322815,0.10800826549530029
