fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,993.0,80.20000457763672,80.20000457763672,714.2000122070312,118.4000015258789,0.8384693264961243,0.6816082000732422,0.363216370344162,0.35183802247047424,0.4154740273952484,44.04780960083008,0.4640563130378723,0.4640563130378723,0.5088061094284058,0.12046968191862106,0.12797755002975464,0.5053103566169739,0.5093774795532227,0.4911939203739166,0.363216370344162,0.35183802247047424,0.38744184374809265,0.4154740273952484,0.5088061094284058,0.5678846836090088,0.8795303702354431,23.322412490844727,0.5359437465667725,0.5359437465667725,0.20000000298023224,0.28044018149375916,0.4911939203739166,0.12797755002975464,0.4911939203739166,0.8720224499702454,0.4911939203739166,0.8720224499702454,0.35183802247047424,0.8720224499702454,0.4911939203739166,1.1168177127838135,3.551862955093384,1.8846386671066284,-0.2019869089126587
2,993.0,82.80000305175781,82.80000305175781,711.6000366210938,115.80000305175781,0.8332327008247375,0.6752532720565796,0.350506454706192,0.3229948878288269,0.3517898917198181,24.10407829284668,0.5240412950515747,0.5240412950515747,0.5197959542274475,0.12416887283325195,0.12969765067100525,0.47195911407470703,0.47496891021728516,0.4802040755748749,0.350506454706192,0.3229948878288269,0.3499489724636078,0.3517898917198181,0.5197959542274475,0.5831708312034607,0.8758312463760376,13.097162246704102,0.47595879435539246,0.47595879435539246,0.20000000298023224,0.29597708582878113,0.4802040755748749,0.12969765067100525,0.4802040755748749,0.8703023791313171,0.4802040755748749,0.8703023791313171,0.3229948878288269,0.8703023791313171,0.4802040755748749,1.1460222005844116,3.6717019081115723,1.9161685705184937,-0.24366497993469238
3,993.0,77.20000457763672,77.20000457763672,717.2000122070312,121.4000015258789,0.8445116281509399,0.6776590943336487,0.355318158864975,0.32736459374427795,0.36236777901649475,18.793291091918945,0.5243955850601196,0.5243955850601196,0.523307204246521,0.1132366806268692,0.12137465924024582,0.4698222279548645,0.4729505479335785,0.4766928255558014,0.355318158864975,0.32736459374427795,0.35767078399658203,0.36236777901649475,0.523307204246521,0.5767305493354797,0.8867632746696472,11.00642204284668,0.47560444474220276,0.47560444474220276,0.20000000298023224,0.29344433546066284,0.4766928255558014,0.12137465924024582,0.4766928255558014,0.8786253929138184,0.4766928255558014,0.8786253929138184,0.32736459374427795,0.8786253929138184,0.4766928255558014,0.998992919921875,2.980865955352783,1.7265183925628662,-0.010600805282592773
4,993.0,87.4000015258789,87.4000015258789,707.0,111.20000457763672,0.8239677548408508,0.6835010647773743,0.3670021593570709,0.3354090750217438,0.34901824593544006,42.02996063232422,0.5182483792304993,0.5182483792304993,0.4943619668483734,0.13273338973522186,0.13863587379455566,0.4864887297153473,0.49005088210105896,0.505638062953949,0.3670021593570709,0.3354090750217438,0.3563949763774872,0.34901824593544006,0.4943619668483734,0.5682428479194641,0.8672666549682617,16.764896392822266,0.4817516505718231,0.4817516505718231,0.20000000298023224,0.30038759112358093,0.505638062953949,0.13863587379455566,0.505638062953949,0.8613641858100891,0.505638062953949,0.8613641858100891,0.3354090750217438,0.8613641858100891,0.505638062953949,1.199395775794983,3.7895267009735107,1.946670651435852,-0.2847604751586914
5,992.0,82.4000015258789,82.4000015258789,711.2000122070312,116.0,0.8338710069656372,0.6623944044113159,0.32478877902030945,0.3200240135192871,0.3633453845977783,30.75746726989746,0.5128880143165588,0.5128880143165588,0.5426899194717407,0.12376662343740463,0.1325213611125946,0.4635179936885834,0.4678034484386444,0.45731016993522644,0.32478877902030945,0.3200240135192871,0.3422466218471527,0.3633453845977783,0.5426899194717407,0.6053094863891602,0.8762333989143372,16.056577682495117,0.48711204528808594,0.48711204528808594,0.20000000298023224,0.29543617367744446,0.45731016993522644,0.1325213611125946,0.45731016993522644,0.8674786686897278,0.45731016993522644,0.8674786686897278,0.3200240135192871,0.8674786686897278,0.45731016993522644,1.1391128301620483,3.627016067504883,1.9044725894927979,-0.22790515422821045
