fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,993.0,79.4000015258789,79.4000015258789,715.0,119.20000457763672,0.8400806784629822,0.6765695810317993,0.3531390130519867,0.3400602638721466,0.39759179949760437,36.906394958496094,0.4841604232788086,0.4841604232788086,0.5204059481620789,0.11824776232242584,0.12645502388477325,0.488366037607193,0.49293777346611023,0.47959405183792114,0.3531390130519867,0.3400602638721466,0.3733412027359009,0.39759179949760437,0.5204059481620789,0.576748788356781,0.8817521929740906,19.700300216674805,0.5158395767211914,0.5158395767211914,0.20000000298023224,0.28530153632164,0.47959405183792114,0.12645502388477325,0.47959405183792114,0.8735449910163879,0.47959405183792114,0.8735449910163879,0.3400602638721466,0.8735449910163879,0.47959405183792114,1.0986908674240112,3.4853978157043457,1.8669220209121704,-0.17949438095092773
2,993.0,81.5999984741211,81.5999984741211,712.7999877929688,117.0,0.8356496095657349,0.6785897612571716,0.3571794927120209,0.3281368911266327,0.3615899980068207,25.935169219970703,0.5172033905982971,0.5172033905982971,0.5141600966453552,0.1212066188454628,0.12866036593914032,0.4774848520755768,0.48083996772766113,0.4858399033546448,0.3571794927120209,0.3281368911266327,0.3582110106945038,0.3615899980068207,0.5141600966453552,0.5741266012191772,0.8787933588027954,13.856799125671387,0.48279663920402527,0.48279663920402527,0.20000000298023224,0.2937175929546356,0.4858399033546448,0.12866036593914032,0.4858399033546448,0.8713396191596985,0.4858399033546448,0.8713396191596985,0.3281368911266327,0.8713396191596985,0.4858399033546448,1.1178247928619385,3.554884195327759,1.8854401111602783,-0.20409691333770752
3,993.0,79.20000457763672,79.20000457763672,715.2000122070312,119.4000015258789,0.8404833674430847,0.6856358051300049,0.37127161026000977,0.3279724717140198,0.35324108600616455,22.45559310913086,0.5301132798194885,0.5301132798194885,0.5040996670722961,0.11664562672376633,0.12462872266769409,0.4731292426586151,0.4779466688632965,0.49590036273002625,0.37127161026000977,0.3279724717140198,0.3597230911254883,0.35324108600616455,0.5040996670722961,0.5598888397216797,0.8833543658256531,11.229515075683594,0.4698866903781891,0.4698866903781891,0.20000000298023224,0.2959820330142975,0.49590036273002625,0.12462872266769409,0.49590036273002625,0.8753711581230164,0.49590036273002625,0.8753711581230164,0.3279724717140198,0.8753711581230164,0.49590036273002625,1.04330313205719,3.1863040924072266,1.7850221395492554,-0.08025038242340088
4,993.0,86.5999984741211,86.5999984741211,707.7999877929688,112.0,0.8255791068077087,0.6753220558166504,0.3506440818309784,0.3308790922164917,0.35364705324172974,39.37334060668945,0.51576828956604,0.51576828956604,0.5112161636352539,0.13058465719223022,0.1381397694349289,0.48024216294288635,0.4833403527736664,0.4887838363647461,0.3506440818309784,0.3308790922164917,0.3512905538082123,0.35364705324172974,0.5112161636352539,0.5823197364807129,0.869415283203125,17.4985408782959,0.48423171043395996,0.48423171043395996,0.20000000298023224,0.2998127043247223,0.4887838363647461,0.1381397694349289,0.4887838363647461,0.8618602752685547,0.4887838363647461,0.8618602752685547,0.3308790922164917,0.8618602752685547,0.4887838363647461,1.1812689304351807,3.7069485187530518,1.9253437519073486,-0.2567640542984009
5,992.0,83.20000457763672,83.20000457763672,710.4000244140625,115.20000457763672,0.8322580456733704,0.6592567563056946,0.3185134828090668,0.3120405077934265,0.34816113114356995,27.567081451416016,0.5264853835105896,0.5264853835105896,0.5467924475669861,0.12535348534584045,0.13469408452510834,0.4534703195095062,0.45830270648002625,0.4532075822353363,0.3185134828090668,0.3120405077934265,0.3316158652305603,0.34816113114356995,0.5467924475669861,0.6102955937385559,0.8746466040611267,14.350831985473633,0.4735146462917328,0.4735146462917328,0.20000000298023224,0.29985079169273376,0.4532075822353363,0.13469408452510834,0.4532075822353363,0.8653059005737305,0.4532075822353363,0.8653059005737305,0.3120405077934265,0.8653059005737305,0.4532075822353363,1.163306474685669,3.7399191856384277,1.9338871240615845,-0.26612794399261475
