model,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
decission_tree,0.5477225575051661,1.0198034912507328,1.0198034912507328,0.819756210188992,0.9549872184820015,0.009928319556374432,0.031330820305990215,0.06266166422028041,0.042077933429315914,0.07025725838572609,16.866389482555544,0.08145374347571104,0.08145374347571104,0.05668807999522859,0.008361738768637583,0.008975089414229455,0.05768134929934252,0.0591845113298241,0.05668807766888059,0.06266166422028041,0.042077933429315914,0.06401780882138472,0.07025725838572609,0.05668807999522859,0.06413535469677745,0.008361734573780977,8.492520659160736,0.06578546322140902,0.06578546322140902,8.161702118890974e-09,0.09895313437975141,0.05668807766888059,0.008975089414229455,0.05668807766888059,0.008975117903480032,0.05668807766888059,0.008975117903480032,0.042077933429315914,0.008975117903480032,0.05668807766888059,0.09308717228325138,0.36725743681412837,0.08947228305105455,0.12530057431910363
random_forest,0.5477225575051661,1.3608817781764184,1.3608817781764184,1.3667483223250476,1.3490739542582193,0.013655492132443978,0.04262676642127845,0.08525355086486788,0.0433955267220646,0.055607096425782744,36.461296226932475,0.0534975791152069,0.0534975791152069,0.07671696525545807,0.013349781650798994,0.012121880624225222,0.05080159175059216,0.054266982564030716,0.07671697211659662,0.08525355086486788,0.0433955267220646,0.06142185391867189,0.055607096425782744,0.07671696525545807,0.08948218602235242,0.013349757650685442,12.578308727168505,0.053497571961622394,0.053497571961622394,8.161702118890974e-09,0.018888036136695152,0.07671697211659662,0.012121880624225222,0.07671697211659662,0.012121884050178494,0.07671697211659662,0.012121884050178494,0.0433955267220646,0.012121884050178494,0.07671697211659662,0.13415707507497687,0.5491503272020218,0.13517983215477528,0.18396751583885157
linear_regression,0.5477225575051661,1.5126134631261914,1.5126134631261914,1.5388322817239046,1.5073153287466778,0.015203760420512902,0.03290528171957962,0.06581054890110123,0.01613587256394915,0.02787678195029935,2.582259804792129,0.023459255391565757,0.023459255391565757,0.06597065868556307,0.005219467423066508,0.0073732621433365165,0.025151551206479796,0.0287926389823595,0.06597068423153586,0.06581054890110123,0.01613587256394915,0.03014150122485349,0.02787678195029935,0.06597065868556307,0.08450697977117028,0.005219462628513011,2.0152213376527577,0.023459272120056735,0.023459272120056735,8.161702118890974e-09,0.10059481739184317,0.06597068423153586,0.0073732621433365165,0.06597068423153586,0.007373243683330965,0.06597068423153586,0.007373243683330965,0.01613587256394915,0.007373243683330965,0.06597068423153586,0.06844488166463777,0.16570092871904293,0.05411947075490357,0.055154781979812065
