fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,199.0,22.200000762939453,22.200000762939453,137.0,17.600000381469727,0.7768844962120056,0.5818266272544861,0.16365323960781097,0.19305358827114105,0.14971332252025604,2.725456476211548,0.6946296095848083,0.6946296095848083,0.6845116019248962,0.15565715730190277,0.15183518826961517,0.2935456931591034,0.30115166306495667,0.31548842787742615,0.16365323960781097,0.19305358827114105,0.15311165153980255,0.14971332252025604,0.6845116019248962,0.7969155311584473,0.844342827796936,1.8672192096710205,0.3053705096244812,0.3053705096244812,0.20000000298023224,0.5208262801170349,0.31548842787742615,0.15183518826961517,0.31548842787742615,0.8481648564338684,0.31548842787742615,0.8481648564338684,0.19305358827114105,0.8481648564338684,0.31548842787742615,1.2562813758850098,3.547738552093506,1.8835440874099731,-0.20606064796447754
2,199.0,22.600000381469727,22.600000381469727,136.60000610351562,17.200000762939453,0.7728643417358398,0.5736212134361267,0.14724232256412506,0.18650658428668976,0.13322463631629944,2.727592945098877,0.7058846354484558,0.7058846354484558,0.6948283314704895,0.16089074313640594,0.15792934596538544,0.28493067622184753,0.29167693853378296,0.3051716983318329,0.14724232256412506,0.18650658428668976,0.136497363448143,0.13322463631629944,0.6948283314704895,0.8169600367546082,0.8391092419624329,1.8921021223068237,0.2941153943538666,0.2941153943538666,0.19999998807907104,0.5274493098258972,0.3051716983318329,0.15792934596538544,0.3051716983318329,0.8420706987380981,0.3051716983318329,0.8420706987380981,0.18650658428668976,0.8420706987380981,0.3051716983318329,1.3417085409164429,3.854271411895752,1.9632298946380615,-0.3041764497756958
3,199.0,23.600000381469727,23.600000381469727,135.60000610351562,16.200000762939453,0.7628141045570374,0.5491456985473633,0.09829141944646835,0.16861937940120697,0.11831270903348923,1.8407585620880127,0.717871367931366,0.717871367931366,0.741720974445343,0.16381588578224182,0.15998761355876923,0.2581281363964081,0.26343560218811035,0.258279025554657,0.09829141944646835,0.16861937940120697,0.108914814889431,0.11831270903348923,0.741720974445343,0.8721281290054321,0.8361841440200806,1.376908302307129,0.28212860226631165,0.28212860226631165,0.19999998807907104,0.553758442401886,0.258279025554657,0.15998761355876923,0.258279025554657,0.8400123715400696,0.258279025554657,0.8400123715400696,0.16861937940120697,0.8400123715400696,0.258279025554657,1.3668341636657715,3.8994975090026855,1.9747145175933838,-0.3194798231124878
4,198.0,22.0,22.0,136.40000915527344,17.600000381469727,0.7777777910232544,0.5648795366287231,0.1297590583562851,0.18644224107265472,0.1424746960401535,2.2040741443634033,0.7016503810882568,0.7016503810882568,0.7180914878845215,0.15587489306926727,0.15214942395687103,0.28263863921165466,0.2861490845680237,0.28190848231315613,0.1297590583562851,0.18644224107265472,0.1372217833995819,0.1424746960401535,0.7180914878845215,0.8338111042976379,0.8441252112388611,1.5957672595977783,0.29834961891174316,0.29834961891174316,0.20000000298023224,0.5326424837112427,0.28190848231315613,0.15214942395687103,0.28190848231315613,0.8478506207466125,0.28190848231315613,0.8478506207466125,0.18644224107265472,0.8478506207466125,0.28190848231315613,1.3333333730697632,3.8686869144439697,1.9668978452682495,-0.3064354658126831
5,198.0,20.600000381469727,20.600000381469727,137.8000030517578,19.0,0.7919191718101501,0.6570714712142944,0.31414294242858887,0.23246760666370392,0.20816683769226074,7.049293518066406,0.6442071795463562,0.6442071795463562,0.5412554144859314,0.14762602746486664,0.1446017324924469,0.35805925726890564,0.37983497977256775,0.458744615316391,0.31414294242858887,0.23246760666370392,0.24118781089782715,0.20816683769226074,0.5412554144859314,0.6293880343437195,0.8523740172386169,3.9475319385528564,0.3557928502559662,0.3557928502559662,0.20000000298023224,0.35184311866760254,0.458744615316391,0.1446017324924469,0.458744615316391,0.8553982973098755,0.458744615316391,0.8553982973098755,0.23246760666370392,0.8553982973098755,0.458744615316391,1.2575757503509521,3.6818182468414307,1.9188064336776733,-0.243330717086792
