fold,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
1,199.0,20.600000381469727,20.600000381469727,138.60000610351562,19.200000762939453,0.7929648756980896,0.5762233138084412,0.15244661271572113,0.19902034103870392,0.14604364335536957,3.1290931701660156,0.7004047632217407,0.7004047632217407,0.6940510869026184,0.1535515934228897,0.15350234508514404,0.30201947689056396,0.3023952841758728,0.305948942899704,0.15244661271572113,0.19902034103870392,0.14969173073768616,0.14604364335536957,0.6940510869026184,0.7995908260345459,0.8464484214782715,2.3575618267059326,0.2995952069759369,0.2995952069759369,0.20000000298023224,0.5149054527282715,0.305948942899704,0.15350234508514404,0.305948942899704,0.8464977145195007,0.305948942899704,0.8464977145195007,0.19902034103870392,0.8464977145195007,0.305948942899704,1.4020100831985474,4.386934757232666,2.09450101852417,-0.4913468360900879
2,199.0,21.399999618530273,21.399999618530273,137.8000030517578,18.399999618530273,0.7849246263504028,0.5792034864425659,0.15840689837932587,0.21228770911693573,0.1721842736005783,7.672171115875244,0.6636532545089722,0.6636532545089722,0.6764264106750488,0.1641625165939331,0.1651667207479477,0.3286827504634857,0.3293205797672272,0.32357361912727356,0.15840689837932587,0.21228770911693573,0.16515663266181946,0.1721842736005783,0.6764264106750488,0.7997677326202393,0.8358374834060669,5.295050144195557,0.3363467752933502,0.3363467752933502,0.19999998807907104,0.4987127482891083,0.32357361912727356,0.1651667207479477,0.32357361912727356,0.8348333239555359,0.32357361912727356,0.8348333239555359,0.21228770911693573,0.8348333239555359,0.32357361912727356,1.4824120998382568,4.64824104309082,2.155977964401245,-0.5728334188461304
3,199.0,20.0,20.0,139.1999969482422,19.80000114440918,0.7989950180053711,0.6231173872947693,0.24623475968837738,0.25587302446365356,0.24582462012767792,10.736044883728027,0.6037432551383972,0.6037432551383972,0.6031570434570312,0.15043210983276367,0.15060824155807495,0.3961261212825775,0.3963378667831421,0.3968430161476135,0.24623475968837738,0.25587302446365356,0.245986208319664,0.24582462012767792,0.6031570434570312,0.7030949592590332,0.8495678901672363,7.641653537750244,0.3962567448616028,0.3962567448616028,0.19999998807907104,0.3299470841884613,0.3968430161476135,0.15060824155807495,0.3968430161476135,0.849391758441925,0.3968430161476135,0.849391758441925,0.25587302446365356,0.849391758441925,0.3968430161476135,1.4170854091644287,4.532663345336914,2.129005193710327,-0.5337252616882324
4,198.0,20.0,20.0,138.40000915527344,19.600000381469727,0.7979798316955566,0.6642177104949951,0.3284354507923126,0.28104621171951294,0.2669524550437927,23.2888240814209,0.5832210779190063,0.5832210779190063,0.5230273008346558,0.1498265117406845,0.1485373079776764,0.43056440353393555,0.4383874833583832,0.4769727885723114,0.3284354507923126,0.28104621171951294,0.2900579869747162,0.2669524550437927,0.5230273008346558,0.6224210858345032,0.8501735925674438,10.638911247253418,0.41677895188331604,0.41677895188331604,0.20000000298023224,0.3201637864112854,0.4769727885723114,0.1485373079776764,0.4769727885723114,0.8514627814292908,0.4769727885723114,0.8514627814292908,0.28104621171951294,0.8514627814292908,0.4769727885723114,1.3585858345031738,4.196969509124756,2.0486507415771484,-0.41729485988616943
5,198.0,20.200000762939453,20.200000762939453,138.1999969482422,19.399999618530273,0.7959595918655396,0.6416434645652771,0.28328701853752136,0.2987092435359955,0.3156345784664154,46.17271041870117,0.530591607093811,0.530591607093811,0.5633265376091003,0.15377382934093475,0.15338651835918427,0.4466901421546936,0.44983693957328796,0.4366735517978668,0.28328701853752136,0.2987092435359955,0.29653558135032654,0.3156345784664154,0.5633265376091003,0.6710497140884399,0.846226155757904,24.621307373046875,0.46940842270851135,0.46940842270851135,0.20000000298023224,0.3111196756362915,0.4366735517978668,0.15338651835918427,0.4366735517978668,0.8466135263442993,0.4366735517978668,0.8466135263442993,0.2987092435359955,0.8466135263442993,0.4366735517978668,1.378787875175476,4.277777671813965,2.0682790279388428,-0.4445831775665283
